garrett 100.0: utg_co3bet_range.npy
Garrett 98.81656804733728: Position: UTG, Opponent: , Opponent Action: 
garrett 100.0: Position: UTG, Opponent: MP, Opponent Action: 3BET
Garrett 10.059171597633137: Position: CO, Action: openraise, Opponent: , Opponent Action: 
Garrett 1.7751479289940828: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 1.183431952662722: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 2.366863905325444: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 1.183431952662722: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 1.183431952662722: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 2.9585798816568047: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 1.183431952662722: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 5.325443786982249: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 5.325443786982249: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 3.55: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 2.367: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 2.959: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 80.473: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 79.882: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 78.107: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 78.107: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 81.657: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 78.107: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 78.107: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 78.107: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 84.615: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 79.882: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 76.331: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 76.331: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 75.148: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 78.107: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 75.74: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 81.065: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 76.923: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
g 73.964: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
Garrett 94.083: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
Garrett 6.509: Position: CO, Action: openraise, Opponent: , Opponent Action: 
Garrett 14.793: Position: MP, Action: openraise, Opponent: , Opponent Action: 
Garrett 94.675: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
Garrett 98.817: Position: UTG, Action: openraise, Opponent: , Opponent Action: 
Garrett 81.657: Position: MP, Action: openraise, Opponent: , Opponent Action: 
